ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
1361,ENSG00000090905.18,TNRC6A,chr16,+,24805604,24805733,24805673,24805733,24805013,24805151,1361,120,6,,,144,75,,,0.912,,,ENSG00000090905
1449,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668104,668154,1449,4,2,,,80,75,,,0.652,,,ENSG00000140983
1450,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668150,668236,1450,78,6,,,80,75,,,0.924,,,ENSG00000140983
1451,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668655,668699,668352,668411,1451,76,2,,,150,75,,,0.95,,,ENSG00000140983
1452,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668658,668699,668352,668411,1452,78,2,,,150,75,,,0.951,,,ENSG00000140983
1453,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668352,668411,1453,4,2,,,78,75,,,0.658,,,ENSG00000140983
1454,ENSG00000140983.13,RHOT2,chr16,+,670248,670357,670265,670357,670122,670175,1454,113,17,,,92,75,,,0.844,,,ENSG00000140983
1455,ENSG00000140983.13,RHOT2,chr16,+,670888,671000,670891,671000,670674,670773,1455,12,80,,,78,75,,,0.126,,,ENSG00000140983
1456,ENSG00000140983.13,RHOT2,chr16,+,671082,671203,671114,671203,670891,671000,1456,97,7,,,107,75,,,0.907,,,ENSG00000140983
1667,ENSG00000103994.16,ZNF106,chr15,-,42439032,42439813,42439032,42439552,42442072,42442414,1667,74,7,,,150,75,,,0.841,,,ENSG00000103994
1734,ENSG00000108799.12,EZH1,chr17,-,42706006,42706185,42706006,42706113,42707957,42708083,1734,137,1,,,147,75,,,0.986,,,ENSG00000108799
2244,ENSG00000076108.11,BAZ2A,chr12,-,56600942,56601098,56600942,56601086,56601179,56601402,2244,64,2,,,87,75,,,0.965,,,ENSG00000076108
2245,ENSG00000076108.11,BAZ2A,chr12,-,56606246,56606395,56606246,56606312,56606632,56606733,2245,8,52,,,150,75,,,0.071,,,ENSG00000076108
2246,ENSG00000076108.11,BAZ2A,chr12,-,56609735,56609946,56609735,56609937,56610113,56610215,2246,26,1,,,84,75,,,0.959,,,ENSG00000076108
2247,ENSG00000076108.11,BAZ2A,chr12,-,56610408,56610539,56610408,56610517,56611572,56611633,2247,3,20,,,97,75,,,0.104,,,ENSG00000076108
2641,ENSG00000131626.16,PPFIA1,chr11,+,70372211,70372390,70372214,70372390,70362287,70362488,2641,3,45,,,78,75,,,0.06,,,ENSG00000131626
2642,ENSG00000131626.16,PPFIA1,chr11,+,70372211,70372390,70372214,70372390,70365940,70365967,2642,0,0,,,78,75,,,,,,ENSG00000131626
3004,ENSG00000018189.12,RUFY3,chr4,+,70793764,70793904,70793784,70793904,70789494,70789592,3004,12,23,,,95,75,,,0.292,,,ENSG00000018189
3256,ENSG00000143748.17,NVL,chr1,-,224313049,224313155,224313049,224313151,224317693,224317793,3256,0,2,,,79,75,,,0,,,ENSG00000143748
3257,ENSG00000143748.17,NVL,chr1,-,224317693,224317793,224317693,224317786,224317877,224317930,3257,5,0,,,82,75,,,1,,,ENSG00000143748
3258,ENSG00000143748.17,NVL,chr1,-,224317877,224317930,224317877,224317925,224326390,224326464,3258,6,0,,,80,75,,,1,,,ENSG00000143748
4092,ENSG00000162819.11,BROX,chr1,+,222724091,222724164,222724099,222724164,222719262,222719359,4092,6,3,,,83,75,,,0.644,,,ENSG00000162819
4485,ENSG00000076944.15,STXBP2,chr19,+,7640697,7640809,7640730,7640809,7639730,7639807,4485,0,10,,,108,75,,,0,,,ENSG00000076944
4486,ENSG00000076944.15,STXBP2,chr19,+,7640697,7640809,7640739,7640809,7639730,7639807,4486,1,0,,,117,75,,,1,,,ENSG00000076944
4487,ENSG00000076944.15,STXBP2,chr19,+,7640730,7640809,7640739,7640809,7639730,7639807,4487,11,0,,,84,75,,,1,,,ENSG00000076944
4488,ENSG00000076944.15,STXBP2,chr19,+,7646171,7646344,7646248,7646344,7645196,7645306,4488,1,17,,,150,75,,,0.029,,,ENSG00000076944
5130,ENSG00000158286.12,RNF207,chr1,+,6211866,6212053,6211922,6212053,6211020,6211118,5130,6,0,,,131,75,,,1,,,ENSG00000158286
5131,ENSG00000158286.12,RNF207,chr1,+,6212217,6212416,6212230,6212416,6211866,6212053,5131,0,8,,,88,75,,,0,,,ENSG00000158286
5407,ENSG00000085788.13,DDHD2,chr8,+,38234393,38234584,38234399,38234584,38232986,38233214,5407,39,1,,,81,75,,,0.973,,,ENSG00000085788
5408,ENSG00000085788.13,DDHD2,chr8,+,38252721,38252824,38252741,38252824,38252131,38252287,5408,47,0,,,95,75,,,1,,,ENSG00000085788
5822,ENSG00000026950.16,BTN3A1,chr6,+,26405371,26405648,26405541,26405648,26402236,26402412,5822,16,0,,,150,75,,,1,,,ENSG00000026950
5823,ENSG00000026950.16,BTN3A1,chr6,+,26405371,26405648,26405503,26405648,26402249,26402412,5823,14,0,,,150,75,,,1,,,ENSG00000026950
5824,ENSG00000026950.16,BTN3A1,chr6,+,26407670,26407952,26407826,26407952,26405908,26406256,5824,15,1,,,150,75,,,0.882,,,ENSG00000026950
6578,ENSG00000111801.15,BTN3A3,chr6,+,26443366,26443442,26443381,26443442,26440471,26440648,6578,3,7,,,90,75,,,0.263,,,ENSG00000111801
6579,ENSG00000111801.15,BTN3A3,chr6,+,26443569,26443659,26443640,26443659,26443381,26443442,6579,13,0,,,146,75,,,1,,,ENSG00000111801
6580,ENSG00000111801.15,BTN3A3,chr6,+,26443956,26444304,26444010,26444304,26443569,26443659,6580,12,0,,,129,75,,,1,,,ENSG00000111801
7206,ENSG00000095794.19,CREM,chr10,+,35178871,35178986,35178888,35178986,35148367,35148491,7206,1,15,,,92,75,,,0.052,,,ENSG00000095794
7283,ENSG00000140553.17,UNC45A,chr15,+,90934338,90934549,90934434,90934549,90933976,90934143,7283,0,0,,,150,75,,,,,,ENSG00000140553
7284,ENSG00000140553.17,UNC45A,chr15,+,90936136,90936460,90936284,90936460,90935945,90935982,7284,12,90,,,150,75,,,0.062,,,ENSG00000140553
7340,ENSG00000086848.14,ALG9,chr11,-,111838248,111838399,111838248,111838378,111840654,111840809,7340,6,21,,,96,75,,,0.182,,,ENSG00000086848
